ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
Лактоглобулин	Food	Beta-lactoglobulin (substance)	710037007	710037007	0
лактоза	Food	Lactose (substance)	47703008	47703008	0
Лангуст	Food	Spiny lobster (substance)	710185006	710185006	0
латук	Food	Lettuce (substance)	735042006	735042006	0
леердам	Food	 Cheese (substance)	102264005	102264005	0
Лемонграсс	Food	Lemongrass	0	0	3
Лемонема	Food	Allergy to fish (finding)	417532002	417532002	0
лесной орех	Food	Allergy to hazelnut (finding)	712840004	0	1
Летний эндивий	Food	Endive (substance)	726758002	726758002	0
Лецитин	Food	Lecithin (substance)	26312007	26312007	0
Лещ	Food	Bream (substance)	227042005	227042005	0
Лиметт	Food	Lime - fruit (substance)	227430006	227430006	0
Лимон	Food	Lemon (substance)	735340006	735340006	0
Лимонная мята	Food	Melissa officinalis leaf (substance)	766800006	766800006	0
Лисички	Food	Cantharellus cibarius (organism)	91317007	91317007	0
Листовая свекла	Food	Beetroot (substance)	227220000	227220000	0
Личи	Food	Lychee (substance)	227433008	227433008	0
Лобио	Food	Lobio	0	0	3
Лобстер	Food	Allergy to lobster (finding)	418626004	0	1
лососевая икра	Food	 Fish roe (substance)	227183005	227183005	0
Лосось	Food	Salmo salar (organism), Allergy to fish (finding)	39947003,  417532002	39947003,  417532002	0
Лосось атлантический	Food	Salmo salar (organism), Allergy to fish (finding)	39947003, 417532002	39947003, 417532002	0
Лук	Food	Onion (substance)	735047000	735047000	0
Лук – резанец	Food	Allium schoenoprasum (organism)	24833007	24833007	0
Лук зеленый	Food	Onion (substance)	735047000	735047000	0
Лук порей	Food	Leek (substance)	726755004	726755004	0
Лук репчатый	Food	Onion (substance)	735047000	735047000	0
Льняное семя	Food	Flax dust (substance)	425933003	425933003	0
Любисток	Food	Lovage (substance)	710176006	710176006	0
люпиновая мука	Food	Lupin flour (substance)	719108000	719108000	0
мааздам	Food	Allergy to cheese (finding)	300914000	300914000	0
Майонез	Food	Mayonnaise (substance)	227549007	227549007	0
Майоран	Food	Marjoram (substance)	227405008	227405008	0
Мак	Food	Poppy seed (substance)	227409002	227409002	0
макадамия	Food	Allergy to macadamia nut (finding)	712844008	0	1
Макрель	Food	Mackerel (substance)	735043001	735043001	0
Малина	Food	Raspberries (substance)	227444000	227444000	0
малютка	Food	Baby food (substance)	227983006	227983006	0
Манго	Food	Allergy to mango fruit (finding)	2,32E+13	0	1
Мангольд 	Food	Chard (substance)	227236003	227236003	0
Мандарин	Food	Tinned mandarin oranges (substance)	227478006	227478006	0
Манная крупа	Food	Semolina (substance)	226732008	226732008	0
Маракуйя	Food	Passion fruit (substance)	227438004	227438004	0
Марципан	Food	Marzipan retail (substance)	227503003	227503003	0
Марципан домашний	Food	Marzipan home-made (substance)	227502008	227502008	0
Маслины	Food	Olives (substance)	227436000	227436000	0
масло	Food	Butter (substance)	226888007	226888007	0
Масло кукурузное	Food	Corn oil (substance)	735247006	735247006	0
Масло оливковое	Food	Allergy to olive oil (finding)	294316000	0	1
Масло подсолнечное	Food	Sunflowerseed oil (substance)	226912000	226912000	0
Масло сливочное	Food	Butter (substance)	226888007	226888007	0
Мед	Food	Honey (substance)	227598003	227598003	0
Медовая дыня	Food	Melon (substance)	260177005	260177005	0
мелисса	Food	Melissa officinalis leaf (substance)	766800006	766800006	0
Мелисса лекарственная 	Food	Melissa officinalis leaf (substance)	766800006	766800006	0
Мелисса лимонная	Food	Melissa officinalis leaf (substance)	766800006	766800006	0
ментол	Food	Menthol (substance)	387414008	387414008	0
Мерлуза	Food	Merluccius productus (organism), Allergy to fish (finding)	50566006, 417532002	50566006, 417532002	0
Мероу	Food	Epinephelus (organism), Allergy to fish (finding)	36546000, 417532002	36546000, 417532002	0
Мидии	Food	Allergy to mussel (finding)	1,29E+13	0	1
мидия	Food	Allergy to mussel (finding)	1,29E+13	0	1
Миндаль	Food	Allergy to almond (finding)	712839001	0	1
Миндальное масло	Food	Allergy to almond oil (finding)	418606003	0	1
Минтай	Food	Pollachius virens (organism), Allergy to fish (finding)	33554006, 417532002	33554006, 417532002	0
Мирабель	Food	Prunus domestica (organism)	1785003	1785003	0
Мицеллярный казеин	Food	Allergy to casein (finding)	5,61E+12	0	1
Можжевельник	Food	Juniperus (organism)	90563009	90563009	0
Мойва	Food	Mallotus villosus (organism), Allergy to fish (finding)	29006009, 417532002	29006009, 417532002	0
моллюск	Food	Allergy to clam (finding)	703911000	0	1
молоко	Food	Milk (substance)	70813002	70813002	0
Молоко кипяченое	Food	Milk (substance)	70813002	70813002	0
Молоко козье	Food	Goat's milk (substance)	83595008	83595008	0
Молоко коровье кипяченое	Food	Cow's milk (substance)	3718001	3718001	0
Молоко коровье цельное	Food	Cow's milk (substance)	3718001	3718001	0
Молоко сухое	Food	Dried milk (substance)	226771006	226771006	0
Молоко топленое	Food	Milk (substance)	70813002	70813002	0
Молочная сыворотка 	Food	Milk (substance)	70813002	70813002	0
Молочные продукты 	Food	Milk (substance)	70813002	70813002	0
Молочные сливки сухие	Food	Dried skimmed cow's milk (substance)	226778000	226778000	0
молочный белок	Food	Milk protein (substance)	10827009	10827009	0
Молочный порошок	Food	Dried skimmed cow's milk (substance)	226778000	226778000	0
морепродукты	Food	Allergy to seafood (finding)	91937001	0	1
Морковь	Food	Allergy to carrot (finding)	420080006	0	1
Морской волк	Food	Sea bass (substance)	726749009	726749009	0
Морской гребешок	Food	Scallop (substance)	736027000	736027000	0
Морской золотистый окунь	Food	Carassius auratus (organism), Allergy to fish (finding)	12978006, 417532002	12978006, 417532002	0
Морской окунь	Food	Sea bass (substance)	726749009	726749009	0
Морской петух	Food	Dactylopterus volitans (organism), Allergy to fish (finding)	18581002, 417532002	18581002, 417532002	0
Морской черт	Food	Allergy to fish (finding)	417532002	417532002	0
Морской язык	Food	Megrim (substance)	710175005	710175005	0
моцарелла	Food	Mozzarella cheese (substance)	226837009	226837009	0
мука	Food	Allergic reaction caused by flour dust (disorder)	419447004	0	1
Мускатный орех	Food	Nutmeg (substance)	735046009	735046009	0
мясо	Food	Allergy to meat (finding)	703931001	0	1
Мясо гуся	Food	Goose - meat (substance)	226965007	226965007	0
Мясо индейки	Food	Turkey - meat (substance)	226967004	226967004	0
Мясо камчатского краба	Food	Crab (substance)	736159005	736159005	0
Мясо кролика	Food	Rabbit - meat (substance)	710183004	710183004	0
Мясо кряквы	Food	Anas platyrhynchos (organism), Allergy to meat (finding)	125102002, 703931001	125102002, 703931001	0
Мясо курицы	Food	Allergy to chicken meat (finding)	703932008	0	1
