ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
Кипарис вечнозеленый	Environment	Cupressus sempervirens specific diagnostic allergen extract (product)	411911005	411911005	0
Кипрей	Environment	Senecio lautus (organism)	10468006	10468006	0
Клевер	Environment	Trifolium (organism)	112604008	112604008	0
клей	Environment	Glue (substance)	57126000	57126000	0
клей БФ-6	Environment	Glue (substance)	57126000	57126000	0
Клен	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Клен опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
Клен ясенелистный	Environment	Acer negundo specific diagnostic allergen extract (product)	411899007	411899007	0
клещ	Environment	Mite (organism)	84073006	84073006	0
Клещ домашней пыли	Environment	Allergy to dust mite protein (finding)	232350006	0	1
клещевина	Environment	Ricinus communis (organism)	35121001	35121001	0
клещевой теранисимус	Environment	0	0	0	3
книжная пыль	Environment	Book (physical object), Allergy to dust (finding)	278212002, 390952000	278212002, 390952000	0
Коза	Environment	SRD goat breed (organism), Allergy to animal protein (finding)	131640001, 717234006	131640001, 717234006	0
Коза эпителий	Environment	Goat epithelium diagnostic allergen extract (product)	411587009	411587009	0
Колготки	Environment	Tights (physical object)	228187009	228187009	0
Коллаген	Environment	Allergy to collagen (finding)	294888001	0	1
Колосняк песчаный	Environment	Elymus triticoides diagnostic allergen extract (product)	411783006	411783006	0
Колосок душистый	Environment	Anthoxanthum odoratum diagnostic allergen extract (product)	411776004	411776004	0
Комар	Environment	Aedes communis diagnostic allergen extract (product)	411799000	411799000	0
Комар обыкновенный	Environment	Aedes communis diagnostic allergen extract (product)	411799000	411799000	0
Комнатная муха	Environment	Fly (organism)	10147004	10147004	0
кондиционер	Environment	0	0	0	3
конская перхоть	Environment	Allergy to horse dander (finding)	419063004	0	1
кора	Environment	Allergy to wood dust (finding)	782552007	0	1
Корова	Environment	Allergy to animal protein (finding)	717234006	717234006	0
Корова эпителий	Environment	Cow epithelium (substance)	256410001	256410001	0
Королевская пальма	Environment	Royal palm turkey (organism)	62124009	62124009	0
Коронки	Environment	Structure of crown of tooth (body structure)	75628001	75628001	0
Косметика	Environment	Allergic reaction caused by cosmetics (disorder)	418282006	0	1
косметическое средство	Environment	Allergic reaction caused by cosmetics (disorder)	418282006	0	1
косметическое средство от солнечных ожогов	Environment	Allergic reaction caused by cosmetics (disorder)	418282006	0	1
Костер полевой	Environment	Brome grass pollen (substance)	260096007	260096007	0
Кохия веничная	Environment	Kochia scoparia specific diagnostic allergen extract (product)	411955004	411955004	0
Кошениль	Environment	Dactylopius coccus diagnostic allergen extract (product)	411678007	411678007	0
Кошка	Environment	Allergy to cat dander (finding)	232346004	0	1
Кошка	Environment	Felis silvestris (organism), Allergy to animal protein (finding)	33384004, 717234006	33384004, 717234006	0
Кошка сыворотка	Environment	Cat serum albumin diagnostic allergen extract (product)	411573009	411573009	0
Кошка эпителий	Environment	Cat epithelium (substance), Allergy to animal protein (finding)	256409006, 717234006	256409006, 717234006	0
Красители	Environment	Allergic contact dermatitis caused by dye (disorder)	200845001	0	1
Краситель	Environment	Allergic contact dermatitis caused by dye (disorder)	200845001	0	1
Краска	Environment	Allergic contact dermatitis caused by dye (disorder)	200845001	0	1
краска для волос	Environment	Allergic reaction caused by hair dye (disorder)	473104002	473104002	0
Крем	Environment	Cream (substance)	255621006	255621006	0
Криптомерия	Environment	Cryptomeria japonica specific diagnostic allergen extract (product)	411910006	411910006	0
Кролик	Environment	Rabbit (organism)	88818001	88818001	0
Кролик моча	Environment	Rabbit urine proteins diagnostic allergen extract (product)	411607001	411607001	0
Кролик сыворотка	Environment	Rabbit serum proteins diagnostic allergen extract (product)	411606005	411606005	0
Кролик шерсть	Environment	Allergy to wool (finding)	425605001	425605001	0
Крыса	Environment	Rattus norvegicus (organism), Allergy to animal protein (finding)	371565004, 717234006	371565004, 717234006	0
Крыса моча	Environment	Rat urine proteins diagnostic allergen extract (product)	411610008	411610008	0
Крыса помет	Environment	Allergy to animal protein (finding)	717234006	717234006	0
Крыса сыворотка	Environment	Rat serum proteins diagnostic allergen extract (product)	411609003	411609003	0
Крыса эпителий	Environment	Rat epithelium diagnostic allergen extract (product)	411595008	411595008	0
крысы	Environment	Rattus norvegicus (organism), Allergy to animal protein (finding)	371565004, 717234006	371565004, 717234006	0
Кукуруза	Environment	Allergy to corn (finding)	419573007	0	1
Куриные перья	Environment	Chicken feathers diagnostic allergen extract (product)	411575002	411575002	0
Курица	Environment	Chicken feathers diagnostic allergen extract (product)	411575002	411575002	0
Курица оперение	Environment	Chicken feathers diagnostic allergen extract (product)	411575002	411575002	0
Курица перья	Environment	Chicken feathers diagnostic allergen extract (product)	411575002	411575002	0
Курица помет	Environment	Chicken droppings diagnostic allergen extract (product)	411574003	411574003	0
Курица сыворотка	Environment	Chicken serum proteins diagnostic allergen extract (product)	411576001	411576001	0
Лаванда	Environment	Lavender oil (substance)	23832005	23832005	0
Лак	Environment	Varnish (substance)	29360009	29360009	0
лако красочные изделия	Environment	Allergy to substance (finding)	419199007	0	1
лакокрасочное изделие	Environment	Allergy to substance (finding)	419199007	0	1
лакокрасочные изделия	Environment	Allergy to substance (finding)	419199007	0	1
Ландыш	Environment	Convallaria (organism)	78993001	78993001	0
Ландыш майский	Environment	Convallaria majalis (organism)	63443005	63443005	0
Латекс	Environment	Allergy to latex (finding)	300916003	0	1
Лебеда	Environment	Atriplex lentiformis specific diagnostic allergen extract (product)	411947006	411947006	0
лейкопластырь	Environment	Contact dermatitis caused by adhesive plaster (disorder)	77560002	0	1
Лен	Environment	Linen cloth (physical object)	989005	989005	0
Летний кипарис	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Лещина	Environment	Corylus avellana pollen specific diagnostic allergen extract (product)	411909001	411909001	0
Лещина обыкновенная	Environment	Corylus avellana pollen specific diagnostic allergen extract (product)	411909001	411909001	0
лжеакация	Environment	0	0	0	3
Лжедурнишник	Environment	Iva ciliata specific diagnostic allergen extract (product)	411954000	411954000	0
Лизоцим	Environment	Lysozyme (substance)	13477003	13477003	0
Ликопин	Environment	Lycopene (substance)	414625009	414625009	0
Лилия	Environment	Family Liliaceae (organism)	107637007	107637007	0
Лимба	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Лимба опилки	Environment	Limba dust (substance)	255704008	255704008	0
Линзы	Environment	Contact lenses, device (physical object)	57368009	57368009	0
Липа	Environment	Tilia (substance)	769047004	769047004	0
Липа сердцелистная	Environment	Tilia cordata specific diagnostic allergen extract (product)	411933007	411933007	0
Липоксигеназа	Environment	Lipoxygenase (substance)	35292008	35292008	0
Лисохвост	Environment	Allergy to grass pollen (finding)	418689008	418689008	0
Лиственница	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Лиственница опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
личинка	Environment	Larva of class Insecta (organism)	284715001	284715001	0
лосьон	Environment	Lotion (basic dose form)	739000003	739000003	0
Лошадь	Environment	Family Equidae (organism), Allergy to animal protein (finding)	388441000, 717234006	388441000, 717234006	0
Лошадь эпителий	Environment	Horse epithelium (substance)	256418008	256418008	0
Лучистый грибок	Environment	Allergy to fungus (finding)	419263009	419263009	0
Льяное волокно	Environment	Linen cloth (physical object)	989005	989005	0
Люпин	Environment	Lupinus (organism)	63876004	63876004	0
Люцерна посевная	Environment	Medicago sativa (organism)	18424005	18424005	0
магнезия	Environment	Allergy to magnesium sulfate (finding)	293682005	0	1
Магнолия	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Максатаза	Environment	Maxatase (substance)	711141000	711141000	0
Малалеука	Environment	0	0	0	3
Мальва	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Марь	Environment	Chenopodium album specific diagnostic allergen extract (product)	411950009	411950009	0
Маска	Environment	Mask (physical object)	261382003	261382003	0
Маслина	Environment	Olea europaea (pollen) specific diagnostic allergen extract (product)	411921002	411921002	0
массажное масло	Environment	0	0	0	3
Матрас	Environment	Mattress, device (physical object)	17207004	17207004	0
Махагон	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Махагон опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
Мебель	Environment	Household furniture, device (physical object)	23076004	23076004	0
Мескитовое дерево	Environment	Mesquite pollen (substance)	260133003	260133003	0
Металл	Environment	Allergy to metal (finding)	300915004	0	1
мех	Environment	Allergy to animal hair (finding)	300911008	300911008	0
Мимоза	Environment	Mimosa (organism)	4689000	4689000	0
Миндаль обыкновенный	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Можжевельник	Environment	Juniperus (organism)	90563009	90563009	0
Можжевельник казацкий	Environment	Juniperus (organism)	90563009	90563009	0
Молочай	Environment	Euphorbia (organism)	65731006	65731006	0
молочко	Environment	0	0	0	3
Мороз	Environment	Urticaria caused by cold (disorder)	74774004	0	1
морозный воздух	Environment	Urticaria caused by cold (disorder)	74774004	0	1
Морская свинка	Environment	Cavia porcellus (organism), Allergy to animal protein (finding)	125076001, 717234006	125076001, 717234006	0
Морская свинка шерсть	Environment	Allergy to wool (finding)	425605001	425605001	0
мотылек	Environment	Chironomus plumosus entomopoxvirus (organism)	81477004	81477004	0
Мотыль (личинка комара дергунца)	Environment	Chironomus plumosus entomopoxvirus (organism)	81477004	81477004	0
Моча крысы	Environment	Rat urine proteins diagnostic allergen extract (product)	411610008	411610008	0
Моча мыши	Environment	Mouse urine proteins diagnostic allergen extract (product)	411602007	411602007	0
моющее средство	Environment	Detergent (substance)	264299001	264299001	0
Моющие	Environment	Detergent (substance)	264299001	264299001	0
мурава	Environment	0	0	0	3
муравей	Environment	Family Formicidae (organism)	106824004	106824004	0
муха	Environment	Fly (organism)	10147004	10147004	0
Мучной клещ	Environment	Tyrophagus farinae (organism)	28185003	28185003	0
Мыло	Environment	Soap (substance)	25780000	25780000	0
мыши	Environment	Mouse (organism)	82968002	82968002	0
Мышиный эпителий	Environment	Mouse epithelium diagnostic allergen extract (product)	411592006	411592006	0
Мышь	Environment	Mouse (organism)	82968002	82968002	0
Мышь моча	Environment	Mouse urine proteins diagnostic allergen extract (product)	411602007	411602007	0
Мышь помет	Environment	Allergy to animal protein (finding)	717234006	717234006	0
